timestamp,price,quantity,side
1775550393887,68786.47000000,0.00008000,buy
1775550393887,68786.47000000,0.00008000,buy
1775550393887,68786.48000000,0.00008000,buy
1775550393887,68787.30000000,0.00008000,buy
1775550393887,68787.33000000,0.00008000,buy
1775550393887,68787.33000000,0.00008000,buy
1775550393887,68787.33000000,0.00008000,buy
1775550393887,68787.33000000,0.00008000,buy
1775550393887,68787.33000000,0.00008000,buy
1775550393887,68787.33000000,0.00008000,buy
1775550393887,68787.33000000,0.00008000,buy
1775550393887,68788.72000000,0.00008000,buy
1775550393887,68788.72000000,0.00008000,buy
1775550393887,68789.30000000,0.00008000,buy
1775550393887,68789.30000000,0.00008000,buy
1775550393887,68789.68000000,0.00008000,buy
1775550393887,68789.68000000,0.00008000,buy
1775550393887,68789.69000000,0.00028000,buy
1775550393887,68789.69000000,0.00358000,buy
1775550393887,68790.00000000,0.00040000,buy
1775550393887,68790.64000000,0.00008000,buy
1775550393887,68791.88000000,0.00008000,buy
1775550393887,68791.90000000,0.00380000,buy
1775550393887,68792.00000000,0.00040000,buy
1775550393887,68792.00000000,0.00040000,buy
1775550393887,68792.28000000,0.00008000,buy
1775550393887,68793.31000000,0.00008000,buy
1775550393887,68793.32000000,0.00008000,buy
1775550393887,68793.32000000,0.00008000,buy
1775550393887,68793.32000000,0.00008000,buy
1775550393887,68793.32000000,0.00008000,buy
1775550393887,68793.32000000,0.00008000,buy
1775550393887,68793.32000000,0.00008000,buy
1775550393887,68793.33000000,0.00008000,buy
1775550393887,68793.33000000,0.00008000,buy
1775550393910,68793.33000000,0.01131000,sell
1775550394301,68793.33000000,0.00343000,sell
1775550394414,68793.34000000,0.00008000,buy
1775550394414,68793.34000000,0.00001000,buy
1775550394629,68793.33000000,0.00007000,sell
1775550394951,68793.34000000,0.00007000,buy
1775550394951,68793.34000000,0.00008000,buy
1775550395508,68793.33000000,0.00065000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00015000,sell
1775550395771,68793.33000000,0.00015000,sell
1775550395771,68793.33000000,0.00015000,sell
1775550395771,68793.33000000,0.00069000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00047000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00140000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00008000,sell
1775550395771,68793.33000000,0.00003000,sell
1775550395785,68793.33000000,0.00005000,sell
1775550395785,68793.33000000,0.00008000,sell
1775550395785,68793.33000000,0.00008000,sell
1775550395785,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00015000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
1775550395786,68793.33000000,0.00008000,sell
