timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,bid_price_4,bid_volume_4,bid_price_5,bid_volume_5,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,ask_price_4,ask_volume_4,ask_price_5,ask_volume_5
1775495042243,69553.02000000,0.88231000,69553.01000000,0.00126000,69551.90000000,0.00008000,69549.70000000,0.00000000,69549.69000000,0.00000000,69553.03000000,3.63171000,69553.96000000,0.00016000,69553.97000000,0.09305000,69553.98000000,0.08302000,69554.76000000,0.00300000
1775495042345,69553.02000000,1.47631000,69553.01000000,0.00118000,69551.24000000,0.00008000,69551.23000000,0.05179000,69551.22000000,0.08286000,69553.03000000,3.05853000,69553.98000000,0.00016000,69553.99000000,0.00000000,69556.06000000,0.00000000,69557.43000000,0.00575000
1775495042443,69553.02000000,0.92894000,69553.01000000,0.00118000,69551.24000000,0.00024000,69551.23000000,0.03960000,69551.22000000,0.08302000,69553.03000000,3.05823000,69553.97000000,0.09297000,69553.98000000,0.00008000,69557.43000000,0.00575000,69557.44000000,0.08294000
1775495042543,69553.02000000,1.42371000,69551.22000000,0.08310000,69551.21000000,0.00038000,69549.87000000,0.00000000,69548.79000000,0.00000000,69557.43000000,0.00016000,69557.44000000,0.00008000,69557.45000000,0.00000000,69560.07000000,0.09436000,69562.75000000,0.00008000
1775495042643,69553.02000000,7.56274000,69553.01000000,0.00008000,69551.24000000,0.00016000,69551.23000000,0.10690000,69551.22000000,0.08326000,69553.03000000,1.34142000,69553.97000000,0.00008000,69554.76000000,0.00000000,69555.99000000,0.00008000,69556.49000000,0.00018000
1775495042742,69553.02000000,7.56596000,69551.24000000,0.03536000,69551.23000000,0.00599000,69551.22000000,0.08318000,69549.54000000,0.00300000,69553.03000000,0.83953000,69553.96000000,0.00008000,69556.49000000,0.00000000,69556.50000000,0.00000000,69558.21000000,0.00024000
1775495042842,69553.02000000,8.22381000,69551.36000000,0.00030000,69551.25000000,0.00016000,69551.24000000,0.03544000,69551.23000000,0.00024000,69553.03000000,0.24487000,69554.30000000,0.04000000,69558.20000000,0.00016000,69558.21000000,0.22662000,69558.24000000,0.12314000
1775495042941,69553.02000000,7.91125000,69551.36000000,0.00000000,69551.24000000,0.03544000,69551.23000000,0.00016000,69551.22000000,0.08334000,69553.03000000,1.42976000,69554.29000000,0.00016000,69556.76000000,0.00030000,69558.19000000,0.13070000,69558.20000000,0.21031000
1775495043044,69553.02000000,7.72784000,69551.22000000,0.08318000,69550.77000000,0.00000000,69550.76000000,0.00000000,69546.08000000,0.00000000,69553.03000000,1.39057000,69558.17000000,0.15948000,69558.18000000,0.22094000,69558.19000000,0.00016000,69558.20000000,0.00000000
1775495043143,69553.01000000,0.00063000,69550.43000000,0.00000000,69536.25000000,0.10012000,69529.47000000,0.20708000,62597.72000000,0.00450000,69553.03000000,1.69635000,69558.15000000,0.10030000,69558.16000000,0.00000000,69558.17000000,0.00016000,69558.18000000,0.00000000
1775495043243,69553.02000000,7.72909000,69551.22000000,0.08326000,69547.73000000,0.00718000,69546.08000000,0.00000000,69546.07000000,0.01589000,69553.03000000,1.75333000,69558.14000000,0.00000000,69558.15000000,0.00000000,69558.17000000,0.00000000,69559.61000000,0.00016000
1775495043342,69548.75000000,0.01456000,69547.73000000,0.00726000,69544.52000000,0.56731000,69488.21000000,0.00000000,69486.75000000,0.00008000,69554.68000000,0.00008000,69558.24000000,0.20385000,69559.61000000,0.00000000,69559.85000000,0.00016000,69559.98000000,0.00308000
1775495043442,69544.56000000,0.00016000,69538.99000000,0.00000000,69205.25000000,0.01000000,68859.22000000,0.01000000,68514.93000000,0.01000000,69565.64000000,0.16635000,69566.05000000,0.23314000,69569.70000000,0.00000000,69644.60000000,0.00000000,69900.80000000,0.01011000
1775495043542,69553.02000000,7.72909000,69546.08000000,0.00000000,69544.59000000,0.33344000,69544.56000000,0.00008000,69544.52000000,0.56739000,69553.03000000,1.83910000,,,,,,,,
1775495043642,69543.68000000,0.00818000,68509.72000000,0.00100000,62597.72000000,0.00486000,55642.42000000,0.00000000,,,69565.53000000,0.00008000,89188.49000000,0.00007000,,,,,,
1775495043743,69553.02000000,7.72909000,69538.33000000,0.51519000,69537.19000000,2.39910000,69537.18000000,0.00000000,69535.64000000,0.00143000,69553.03000000,1.83921000,69555.99000000,0.00000000,69561.44000000,0.00000000,69561.45000000,0.00008000,69561.93000000,0.00008000
1775495043842,69548.76000000,0.00016000,69547.46000000,0.05282000,69546.07000000,0.00152000,69423.96000000,0.02251000,62597.72000000,0.00504000,69553.03000000,1.83633000,69558.24000000,0.12314000,69559.61000000,0.00016000,69559.98000000,0.00300000,69560.45000000,0.08861000
1775495043941,69553.02000000,7.81190000,69551.22000000,0.00048000,69547.73000000,0.00726000,69547.46000000,0.05290000,69546.07000000,0.00144000,69553.03000000,1.83449000,69559.99000000,0.21032000,69560.45000000,0.17142000,69573.90000000,0.00314000,69582.01000000,0.00000000
1775495044043,69553.02000000,7.81182000,69551.25000000,0.00000000,69551.24000000,0.00008000,69551.23000000,0.00000000,69551.22000000,0.00040000,69553.03000000,1.53935000,69565.64000000,0.16166000,69568.00000000,0.21665000,69575.86000000,0.10286000,89516.45000000,0.00037000
1775495044142,69553.02000000,7.81258000,69551.39000000,0.00030000,69551.24000000,0.00000000,69548.76000000,0.00000000,69546.75000000,0.43173000,69553.03000000,0.62859000,69556.76000000,0.00000000,69558.20000000,0.00016000,69558.21000000,0.23903000,69558.24000000,0.00008000
1775495044243,69551.39000000,0.00000000,69549.99000000,0.02300000,69547.46000000,0.05306000,69546.76000000,0.62116000,69546.75000000,0.43189000,69553.03000000,0.62653000,69556.35000000,0.00030000,69558.20000000,0.07158000,69558.23000000,0.00008000,69558.26000000,0.05937000
1775495044345,69553.02000000,7.81984000,69551.29000000,0.00000000,69551.28000000,0.00300000,69551.22000000,0.00032000,69550.66000000,0.03008000,69553.03000000,0.31455000,69553.29000000,0.00008000,69556.35000000,0.00000000,69556.78000000,0.00030000,69558.19000000,0.00000000
1775495044444,69553.02000000,7.81266000,69550.67000000,0.00016000,69550.66000000,0.03032000,69550.65000000,0.05381000,69550.01000000,0.00718000,69553.03000000,0.33984000,69556.55000000,0.00030000,69556.78000000,0.00000000,69558.04000000,0.26050000,69558.05000000,0.05000000
1775495044542,69553.02000000,7.81274000,69553.01000000,0.00071000,69550.66000000,0.01640000,69550.65000000,0.00008000,69550.01000000,0.00726000,69553.03000000,0.96113000,69555.48000000,0.00016000,69555.49000000,0.00033000,69558.02000000,0.00016000,69558.03000000,0.35130000
1775495044641,69553.02000000,7.81266000,69550.66000000,0.01640000,69550.65000000,0.00000000,69547.47000000,0.00016000,69546.70000000,0.51815000,69553.03000000,0.95917000,69555.48000000,0.00000000,69558.01000000,0.19128000,69558.02000000,0.21144000,69558.03000000,0.00000000
1775495044743,69553.02000000,7.81000000,69553.01000000,0.00103000,69550.01000000,0.00008000,69547.47000000,0.00000000,69547.46000000,0.00024000,69553.03000000,1.61323000,69555.49000000,0.00025000,69557.13000000,0.09431000,69557.99000000,0.11082000,69558.00000000,0.23463000
1775495044842,69551.22000000,0.00024000,69550.66000000,0.01640000,69550.01000000,0.00000000,69548.75000000,0.01456000,69547.46000000,0.00016000,69553.03000000,1.61165000,69553.29000000,0.00000000,69557.11000000,0.06787000,69557.12000000,0.00016000,69557.13000000,0.00008000
1775495044941,69553.02000000,7.80992000,69553.01000000,0.00103000,69547.46000000,0.00008000,69544.52000000,0.56739000,69544.33000000,0.20708000,69553.03000000,1.60971000,69557.10000000,0.00000000,69557.11000000,0.00008000,69557.12000000,0.00000000,69557.13000000,0.00000000
1775495045044,69444.98000000,0.04458000,69205.25000000,0.00000000,68859.22000000,0.00000000,68514.93000000,0.00000000,68172.35000000,0.00000000,69553.03000000,1.60726000,69559.47000000,0.00016000,69559.98000000,0.00300000,69562.65000000,0.00048000,69565.23000000,0.21543000
1775495045143,69559.35000000,3.05165000,69559.34000000,0.00008000,69559.20000000,0.00000000,69558.84000000,0.00000000,69558.36000000,0.00000000,69553.03000000,0.00000000,69553.04000000,0.00000000,69553.96000000,0.00000000,69553.97000000,0.00000000,69553.98000000,0.00000000
1775495045242,69559.35000000,2.71572000,69558.26000000,0.02270000,69558.25000000,0.00000000,69558.24000000,0.00008000,69554.32000000,0.00016000,69559.36000000,2.56914000,69559.37000000,0.00056000,69559.47000000,0.00000000,69559.86000000,0.11245000,69563.46000000,0.00000000
1775495045342,69559.35000000,3.20035000,69558.27000000,0.00000000,69558.26000000,0.00008000,69558.24000000,0.00000000,69556.50000000,0.00300000,69559.36000000,2.27008000,69559.37000000,0.00064000,69559.98000000,0.00008000,69559.99000000,0.00316000,69563.70000000,0.00016000
1775495045443,69559.35000000,3.20035000,69558.26000000,0.00000000,69554.29000000,0.21761000,69553.95000000,0.01457000,69552.92000000,0.00009000,69559.36000000,2.06131000,69565.24000000,0.05233000,69565.94000000,0.05915000,69566.97000000,0.08281000,69875.68000000,0.20720000
1775495045543,69559.35000000,2.99343000,69558.30000000,0.00030000,69554.32000000,0.94980000,69554.30000000,0.00000000,69554.29000000,0.01061000,69559.36000000,0.99972000,69563.71000000,0.00024000,69563.72000000,0.00008000,69565.24000000,0.00008000,69565.45000000,0.00000000
1775495045643,69559.35000000,2.99531000,69559.34000000,0.00068000,69558.30000000,0.00000000,69558.24000000,0.00300000,69554.32000000,0.94988000,69559.36000000,0.42313000,69559.37000000,0.00024000,69559.86000000,0.00008000,69563.70000000,0.00000000,69563.71000000,0.00008000
1775495045742,69559.35000000,3.01419000,69554.33000000,0.25114000,69554.29000000,0.00739000,69551.33000000,0.51823000,69549.87000000,0.00008000,69559.36000000,0.05031000,69559.37000000,0.00016000,69559.85000000,0.00008000,69565.18000000,0.00000000,69565.61000000,0.00000000
1775495045844,69559.35000000,3.01427000,69556.24000000,0.01437000,69556.00000000,0.00008000,69554.33000000,0.00008000,69551.33000000,0.51815000,69559.36000000,0.17982000,69565.94000000,0.05931000,69566.43000000,0.00016000,69566.44000000,0.22995000,69566.45000000,0.23096000
